Objra,Objdec,mangaid,plateifu
328.80605,45.969914,  3-52853808 ,   9261-6103 
164.72342,10.534774, 3-113585405 ,   9065-3702 
6.64592,57.70394,      27-785 ,   8034-3703 
59.792928,26.156687,  7-24947280 ,   8780-9101 
142.3737,54.401195,   7-5630217 ,   8911-3701 
186.659041558,44.9214107215,    1-258589 ,  8262-12703 
257.532896417,32.294166029,    1-561017 ,   9185-3704 
85.702485,-3.4131997,  3-52009213 ,  8899-12705 
194.060945053,27.5063295051,    1-456381 ,   8931-3702 
232.167336246,43.0226831011,   12-180451 ,   7443-3703 
215.704219892,42.3956483269,    1-266298 ,   8333-1901 
29.644461,-3.514781,  7-13989396 ,   8806-1902 
84.47601,31.90622,     27-1476 ,  8045-12705 
291.19131,1.594091,  7-17617673 ,  8695-12703 
119.988295378,50.427737229,    1-378753 ,   8715-6102 
190.582431495,45.4378646384,    1-259091 ,   8341-1901 
255.37054,10.364429,  7-14268956 ,   9858-3704 
247.57407,40.59861,    1-135057 ,  8601-12703 
49.9468538118,0.623822203484,     1-38166 ,   8081-3702 
320.98135,58.575414,  3-22615981 ,   9664-9101 
239.339148027,54.6710733079,     1-91582 ,   8481-3702 
83.66665,31.5715,     27-1509 ,  8045-12701 
250.453203157,41.8187374779,     1-94422 ,   8978-6103 
85.876314,-0.48358751,  3-46863102 ,   8893-6103 
192.87994,12.54825,     4-20459 ,   8269-9102 
297.36295,49.588966,  7-18188540 ,   9861-3704 
83.464591,-6.4649181,  3-60836118 ,   9659-3704 
295.99025,42.968986,  7-18114721 ,   9129-9101 
166.09891,12.096753,   7-7725132 ,   9682-3703 
116.919170676,18.478553388,    1-297846 ,   9492-3704 
289.90562,-28.819527, 3-101286500 ,   9098-6104 
320.166227919,1.11735037898,    1-179981 ,   8615-6103 
194.16002111,28.1062643769,    1-456526 ,   8931-9102 
289.037,43.643147,  7-17399143 ,  9079-12703 
297.51876,46.044076,  7-18053524 ,   9023-1902 
163.622700303,50.5775427178,    1-148780 ,   8999-1901 
313.91413,64.098053,  3-12256716 ,   8698-3701 
83.635376,11.585601,  7-26897046 ,  8883-12703 
136.671423992,41.3651069434,    1-585433 ,   8247-3701 
66.061844,19.42027,  7-25764536 ,   8777-9101 
218.335551581,40.5502139407,    1-252126 ,   8335-3703 
291.50409,1.527028,  7-17583570 ,   8694-3702 
159.21672,25.581399, 3-125612648 ,   8959-3702 
119.834859985,42.0570733284,     1-44483 ,   8143-3702 
221.792028246,33.2104733849,    1-314040 ,   9024-3702 
57.9008365797,-6.45482973828,     1-51970 ,   8728-3702 
63.967491,24.723313,  7-25326556 ,   8778-6104 
339.85159,44.528113,  7-22043605 ,   8697-9101 
171.3568219,51.8839320984,    1-149650 ,  8992-12701 
127.027493024,26.9118288966,    1-298906 ,  9510-12705 
315.57601,55.667001,  3-21194211 ,   8677-3703 
262.996722074,59.9716380852,     1-25725 ,   8611-3704 
82.058688,10.678764,  3-32458750 ,   8887-6102 
129.634702602,24.8987741464,    1-385052 ,   9501-1902 
259.79543423,61.5422704447,     1-23784 ,   8611-9102 
292.31467,37.07372,  3-14221643 ,   8630-6101 
67.20035,49.24439,     27-1171 ,   8040-6104 
193.89657,41.86446,       4-820 ,  8098-12702 
297.88089,18.255705, 54-38648021 ,   9975-1902 
241.30721,5.8128764, 3-140134315 ,   8636-6104 
165.90373,11.79719,   7-7716706 ,   9065-9101 
194.80098,27.897617,        50-4 ,  8479-12704 
215.55297,57.581997, 3-152511406 ,   8963-6102 
297.09018,44.543083,  7-18125885 ,   9130-3703 
82.048242,4.114203,  7-26870095 ,   8905-6104 
125.880386088,18.4481561244,    1-460463 ,   8241-6104 
126.535608471,23.7399228582,    1-384548 ,  8939-12705 
159.92148,39.504284, 3-136745938 ,   9690-6104 
223.61098242,53.2174411839,    1-631640 ,   8592-9101 
226.81675,67.38997,     4-16847 ,  8271-12702 
57.1040919143,-6.62606055908,    1-604172 ,  8727-12705 
235.176658256,43.7512524887,    1-199454 ,   9037-3704 
54.272829,24.121817,  3-51985875 ,  9257-12701 
231.478756028,41.9097725983,    12-84617 ,   7443-3704 
259.376307236,57.0681032516,     1-23927 ,   8625-3703 
153.034483163,46.2936923797,    1-167564 ,  8453-12705 
337.36685,50.662495,  3-54888176 ,   9535-1902 
54.762901,23.820806,  3-51488576 ,  9257-12702 
121.720459522,19.8592023018,    1-383017 ,   9490-1902 
142.13573,50.79362,    1-605884 ,  8439-12703 
147.638799664,34.0988189132,    1-389503 ,   8944-1901 
85.675721,9.5864377,  3-28769882 ,   9482-3701 
69.502161,26.122596,  3-25131179 ,   9288-6104 
321.2944,11.25861,     4-12646 ,  8121-12701 
140.3945,27.49972,      4-2083 ,   8100-6102 
57.418721,68.367169,       51-24 ,   9674-6101 
230.652568187,29.8957624364,    1-316030 ,   9044-6102 
315.20757,35.367355,  3-48776221 ,   8688-3704 
117.776020185,47.3333526281,    1-548196 ,   8714-6103 
119.165933097,44.1010079182,     1-44100 ,   8141-6101 
171.898080923,47.3793949684,    1-588617 ,  8945-12701 
140.79899,28.2578,      4-2666 ,   8099-3702 
200.273355398,31.8312984504,    1-419240 ,   8442-6101 
239.73077,6.1838277, 3-139452364 ,   8640-1901 
206.007949798,25.9411986626,    1-423024 ,   8983-3704 
242.10095866,29.7548343494,    1-269179 ,  9028-12701 
240.40413,5.1458436, 3-139221563 ,   8634-6102 
222.981012263,46.7484117581,    1-576439 ,  9033-12702 
331.21003,55.660684,  7-21809674 ,   8692-1902 
247.583911576,39.8043232273,    1-211084 ,   8312-1902 
122.380643684,39.801879834,    1-122361 ,   9486-6102 
195.094625216,28.5744704007,    1-404191 ,  8935-12705 
118.474514028,20.7827704892,    1-298228 ,   9497-6103 
57.100883,67.770444,       51-27 ,   9674-6104 
277.63302,4.9878568,  7-16395562 ,  9801-12704 
