Objra,Objdec,mangaid,plateifu
288.88002,-28.845841, 3-100976838 ,  9097-12701 
260.745463415,27.7495446674,    1-178399 ,  9085-12701 
100.7023,-1.9677595, 3-144729208 ,  8782-12701 
207.41891,33.2716, 3-137764448 ,  9665-12701 
194.144334079,26.4551733355,    1-456759 ,  8933-12701 
40.8804658761,0.306821500727,     1-36832 ,  8078-12701 
77.871604,23.940063,  7-26712767 ,  9517-12701 
320.51689,58.931117,  3-21672253 ,  9664-12701 
102.18264,-0.21357499,    7-313399 ,  8803-12701 
87.281557,42.758702,  7-27396122 ,  8682-12701 
84.35283,-1.2314319,  3-50521816 ,  8898-12701 
135.065110305,40.2967379097,    1-216540 ,  8440-12701 
116.759566834,26.7764878281,    1-145783 ,  8147-12701 
244.583232408,23.6370834476,    1-318499 ,  9050-12701 
84.04243,-2.2055216,  3-52508191 ,  8899-12701 
240.470870972,45.351940155,    1-209980 ,  8549-12701 
192.356451251,26.7864476354,    1-455684 ,  8950-12701 
82.121283,0.89970326,  3-50025750 ,  8901-12701 
253.53684,10.745804,  7-13671957 ,  9679-12701 
249.471809515,39.2498229771,    1-594602 ,  8588-12701 
235.79840127,47.7536483573,    1-209537 ,  8486-12701 
154.005710637,44.1762402068,    1-254520 ,  8454-12701 
147.86444987,35.0195050247,    1-390168 ,  8944-12701 
138.28004,21.61294,      4-4093 ,  8117-12701 
287.54156,-1.7827182,  3-68758455 , 10020-12701 
230.50746239,43.53234133,    12-98126 ,  7443-12701 
195.139836909,27.504158471,    1-457140 ,  9863-12701 
140.26901,47.993668, 3-150067470 ,  9729-12701 
220.82137097,50.4958383049,    1-197805 ,  8595-12701 
195.033875,27.977,        50-1 ,  8479-12701 
4.9488672,84.616232,   3-3245877 ,  9264-12701 
11.053271,41.561714,        52-8 ,  9677-12701 
340.77977,23.602488,  3-97870439 ,  8658-12701 
226.231810519,31.1249809921,    1-314719 ,  9045-12701 
298.37188,44.625052,  7-18399939 ,  9128-12701 
151.17987,25.173271,   7-6539819 ,  9681-12701 
93.18054,-7.208764,  7-28331554 ,  8908-12701 
263.525272316,56.7996126548,     1-24425 ,  8626-12701 
240.1989,5.3800656, 3-139221724 ,  9125-12701 
83.400471,-6.787732,  7-26763728 ,  9660-12701 
154.731809916,40.6129387518,    1-254342 ,  8455-12701 
82.860488,-6.673034,  7-27058089 ,  9659-12701 
256.179611837,34.5585186449,    1-177231 ,  9185-12701 
241.09814,5.0177697, 3-139451637 ,  8635-12701 
276.59215,3.297645,  7-16180815 ,  9802-12701 
120.269959112,26.802436444,    1-604930 ,  8149-12701 
284.13505,-10.969266,  3-79229057 ,  9800-12701 
138.068277714,0.932291576054,     1-53870 ,  9512-12701 
163.063860959,49.6956970894,    1-148664 ,  8999-12701 
217.60884,56.911637, 3-152744738 ,  8964-12701 
246.358721827,39.8706971974,    1-210962 ,  8550-12701 
165.495818359,45.2280243374,    1-277290 ,  8257-12701 
126.514500226,25.5945851751,    1-298823 ,  9508-12701 
295.65886,49.165376,  7-18000939 ,  9861-12701 
213.432186232,43.6624813137,    1-569225 ,  8333-12701 
243.935921424,31.9639551562,    1-272287 ,  9027-12701 
262.257375976,60.089399624,     1-23687 ,  8611-12701 
201.733433101,28.5609112714,    1-395643 ,  8984-12701 
322.05737,10.908495,  7-20666743 ,  8706-12701 
80.721193,3.3275871,  3-47964285 ,  8904-12701 
116.20836,67.08114, 3-159036373 ,  9726-12701 
79.33047,24.86596,     4-14476 ,  8118-12701 
196.81208,71.01856, 3-154817794 ,  9012-12701 
288.99719,-28.066058, 3-100754688 ,  9098-12701 
125.85248,0.133377,   7-4266895 ,  8924-12701 
116.943082242,51.6460199117,    1-378901 ,  8711-12701 
82.870508,-1.0106886,  3-52006273 ,  9476-12701 
156.025058618,35.8187952018,    1-392720 ,  8943-12701 
314.36073,54.032524,  7-20053195 ,  9298-12701 
54.272829,24.121817,  3-51985875 ,  9257-12701 
81.453408,10.780379,  7-27064758 ,  8887-12701 
122.298944914,49.0170431431,     1-45291 ,  8720-12701 
41.709774,61.463121,  7-23985741 ,  9542-12701 
119.553305266,38.5353143453,     1-71891 ,  9182-12701 
177.49719,20.404454, 3-113124307 ,  9018-12701 
74.63129,21.59345,     27-1609 ,  8046-12701 
179.962635154,43.7406891014,    1-257984 ,  8259-12701 
215.11563,57.281162,  7-11021417 ,  8962-12701 
356.092469402,0.0963688739824,     1-29749 ,  8655-12701 
295.16455,42.334459,  3-12752952 ,  9129-12701 
191.87396,11.1826,     4-20311 ,  8268-12701 
122.896204521,27.3059764629,    1-218322 ,  8942-12701 
94.796715,-4.71871,  7-27822778 ,  8812-12701 
162.72464,-3.848467,   7-7496588 ,  8960-12701 
165.06949,11.126738, 3-113701746 ,  9682-12701 
36.992257,62.32631,  7-23422347 ,  9248-12701 
224.16011,22.613028,  7-11296047 ,  9066-12701 
95.04602,-3.900882,  7-28896691 ,  8707-12701 
254.021313773,34.0498523927,    1-560933 ,  8613-12701 
197.66878,32.22818,    1-409576 ,  8442-12701 
328.81705,45.420136,  3-53862806 ,  9261-12701 
190.42757,-2.0492383, 3-109454844 ,  9014-12701 
116.182137064,38.6350147539,     1-43528 ,  8713-12701 
258.16694,-24.028722, 3-126064645 ,  8556-12701 
144.23925577,48.2941162265,    1-138087 ,  8252-12701 
46.5605185087,-0.344391889546,     1-37400 ,  9194-12701 
81.461232,3.2795264,  3-46857866 ,  8905-12701 
79.543087,-1.2875268,  3-57537101 ,  9479-12701 
305.7353,60.022574,  3-11151014 ,  8696-12701 
242.10095866,29.7548343494,    1-269179 ,  9028-12701 
258.659422124,28.1207629753,    1-177822 ,  7962-12701 
248.78284923,40.9913754432,    1-634056 ,  8978-12701 
241.54231,24.284983,  7-12804560 ,  8969-12701 
203.196338983,38.0897849445,    1-418626 ,  8330-12701 
256.957111214,34.4398111003,    1-177285 ,  7958-12701 
160.52876,38.685545, 3-135627870 ,  9690-12701 
291.41834,42.579817,  3-10044956 , 10011-12701 
169.42303,47.0834,    1-613799 ,  8946-12701 
99.64568,22.26463,     27-1652 ,  8048-12701 
45.954624176,-1.10374999046,     1-37440 ,  9193-12701 
54.6375842223,-5.46721414363,     1-51767 ,  8727-12701 
42.87698,34.759772,  3-52479816 ,  9521-12701 
226.7294,35.928625, 3-148400085 ,  9773-12701 
36.62405,46.67965,     27-1024 ,  8037-12701 
288.11817,51.447989,  7-17152035 , 10008-12701 
215.1523,57.265996, 3-152275125 ,  8963-12701 
132.586475426,27.3392330288,    1-385918 ,  9506-12701 
295.19929,10.348501,  3-58857629 ,  9978-12701 
322.44767,11.608183,  3-94513000 ,  9305-12701 
217.629970676,52.7071590288,    1-593159 ,  8547-12701 
114.880984537,39.7889055602,     1-43188 ,  8566-12701 
64.51189,50.00536,     27-1174 ,  8041-12701 
172.492084431,52.1831218423,    1-149686 ,  8997-12701 
115.633440402,44.2338189442,    1-338829 ,  8138-12701 
56.862717,68.123581,       51-13 ,  9673-12701 
255.029869751,37.8395021377,     1-95585 ,  8606-12701 
84.351441,-1.2848855,  3-50521811 ,  8897-12701 
191.66585,12.290773,   7-9130266 ,  8965-12701 
129.893515911,25.4770889113,    1-385070 ,  9501-12701 
81.638561,11.849282,  7-26867689 ,  8885-12701 
114.83597,27.36062,    1-152389 ,  8144-12701 
318.026426419,11.3451572409,    1-113567 ,  7815-12701 
20.388553,0.74182858, 3-104351581 ,  8683-12701 
193.603092309,27.363986169,    1-456405 ,  8949-12701 
157.058861447,42.9680503539,    1-274706 ,  8253-12701 
283.3557,16.627352,  3-29909502 ,  9004-12701 
190.86799,12.256245, 3-112797967 ,  8918-12701 
83.553442,-1.0056716,  3-51014655 ,  9468-12701 
117.397790677,30.4166290497,    1-152791 ,  8936-12701 
171.3568219,51.8839320984,    1-149650 ,  8992-12701 
192.86758,41.60216,       4-801 ,  8264-12701 
112.708,4.608834,   7-2151178 ,  9531-12701 
213.149187912,47.2530577,    1-235398 ,  8326-12701 
229.429446689,27.8953327529,    1-374333 ,  9891-12701 
80.955464,3.7409934,  3-46857222 ,  8906-12701 
134.799768325,54.0430518087,     1-48557 ,  8721-12701 
257.64226,57.699478, 3-160024975 ,  9008-12701 
146.478228917,43.046704506,    1-558175 ,  8461-12701 
126.590032639,20.2705145924,    1-384095 ,  9488-12701 
290.39966,38.68637,      4-7021 ,  8111-12701 
63.244535,22.726276,  7-25472428 ,  8778-12701 
80.180503,-2.126981,  7-27007422 ,  9478-12701 
205.419200168,23.1890214792,    1-568582 ,  9881-12701 
49.780139,19.361151,  3-66257486 ,  8685-12701 
83.27939,32.55643,     27-1477 ,  8044-12701 
